age,educ,gender,religion,income,immig,loginc
27,12,Male,No religion,4000,5.3333335,8.2940493
34,14,Male,No religion,3900,6,8.2687321
58,10,Male,No religion,3500,7,8.1605186
59,12,Male,No religion,3800,6.6666665,8.2427559
45,12,Male,No religion,8,0,2.0794415
57,12,Female,catholic,900,4,6.8023949
43,20,Male,No religion,3000,2.6666667,8.0063677
49,17,Female,No religion,5300,5.6666665,8.5754623
55,11,Female,catholic,2000,4.3333335,7.6009026
44,16,Female,catholic,2500,5,7.8240461
28,17,Female,No religion,1480,5.3333335,7.2997975
31,21,Male,No religion,3900,7,8.2687321
36,14,Male,No religion,1700,3.6666667,7.4383836
42,16,Male,No religion,3500,6,8.1605186
58,12,Female,catholic,2000,6.3333335,7.6009026
36,11,Male,No religion,2350,6,7.7621708
43,12,Male,No religion,2900,4.3333335,7.972466
22,12,Female,catholic,1500,5.3333335,7.3132205
38,15,Female,No religion,1250,5,7.130899
28,19,Female,No religion,1801,1,7.4960976
56,14,Male,catholic,3800,4,8.2427559
39,16,Female,No religion,1600,2.3333333,7.377759
32,18,Male,No religion,25000,5.3333335,10.126631
53,16,Female,catholic,3000,4.6666665,8.0063677
49,13,Male,No religion,4000,3.3333333,8.2940493
34,13,Female,No religion,1900,5.3333335,7.5496092
41,17,Male,No religion,1550,4,7.3460102
48,12,Male,No religion,4000,6.6666665,8.2940493
41,14,Female,No religion,3062,5.3333335,8.026824
54,10,Male,No religion,2300,5.3333335,7.7406645
29,17,Female,catholic,4000,5.6666665,8.2940493
36,16,Female,No religion,3600,6.6666665,8.1886892
43,14,Female,catholic,2500,6.3333335,7.8240461
53,12,Male,No religion,2400,6.3333335,7.7832241
18,11,Female,No religion,271,5,5.602119
31,15,Female,No religion,900,7,6.8023949
35,15,Male,No religion,3000,7.6666665,8.0063677
48,16,Male,No religion,3500,8.666667,8.1605186
53,12,Male,catholic,2500,4.6666665,7.8240461
49,11,Male,catholic,2650,3.6666667,7.8823147
61,12,Male,No religion,4750,7,8.4658995
58,15,Male,No religion,4000,6,8.2940493
56,12,Male,catholic,2443,4,7.800982
23,13,Female,No religion,1800,6.3333335,7.495542
52,7,Female,No religion,2400,2,7.7832241
55,10,Male,No religion,3000,5,8.0063677
33,3,Male,No religion,2250,7,7.7186856
41,6,Male,catholic,1800,4.3333335,7.495542
39,1,Male,No religion,2000,4,7.6009026
54,20,Male,No religion,6000,7,8.6995144
62,15,Male,No religion,3800,6.3333335,8.2427559
23,14,Male,catholic,1610,4.3333335,7.3839893
32,14,Male,catholic,4000,6.3333335,8.2940493
50,15,Male,No religion,5000,5,8.5171928
38,14,Male,catholic,2600,4.3333335,7.8632669
28,15,Female,Protestant,2000,5.3333335,7.6009026
56,15,Female,catholic,5200,6.6666665,8.5564137
37,13,Male,other,1600,8,7.377759
58,12,Male,No religion,3400,7.6666665,8.1315308
44,12,Female,No religion,1600,5.6666665,7.377759
50,11,Male,catholic,3102,6.6666665,8.0398026
47,12,Male,No religion,3000,3,8.0063677
34,13,Female,catholic,16,6,2.7725887
37,17,Male,No religion,3000,6,8.0063677
50,10,Male,catholic,3700,4.3333335,8.2160883
46,9,Male,No religion,1500,3,7.3132205
34,15,Female,catholic,2820,8,7.9444923
49,19,Male,catholic,2800,4,7.9373746
24,16,Male,No religion,3000,6.3333335,8.0063677
41,15,Male,catholic,2600,6,7.8632669
33,12,Female,Islamic,1100,6.6666665,7.0030656
39,15,Female,catholic,5000,4.6666665,8.5171928
50,14,Male,No religion,2800,6,7.9373746
26,17,Female,No religion,3200,5.3333335,8.0709057
48,12,Female,No religion,1800,6.3333335,7.495542
30,14,Male,catholic,2800,6,7.9373746
38,14,Male,catholic,2100,4,7.6496925
35,17,Female,catholic,2000,3.6666667,7.6009026
45,16,Female,catholic,3100,6.6666665,8.0391569
48,14,Female,No religion,1300,6,7.1701198
53,15,Male,No religion,2400,6.3333335,7.7832241
51,12,Male,No religion,3300,8.333333,8.1016779
32,18,Female,No religion,2800,6,7.9373746
36,13,Male,No religion,2500,2.6666667,7.8240461
21,13,Male,No religion,22250,7.6666665,10.010098
48,12,Female,No religion,1200,4.3333335,7.0900769
36,15,Male,No religion,2200,3.6666667,7.6962128
42,15,Female,Orthodox & other christians,230,7.6666665,5.4380794
36,15,Female,Orthodox & other christians,189,5.6666665,5.2417469
31,17,Male,Orthodox & other christians,357,6,5.8777356
54,14,Female,Orthodox & other christians,204,6,5.31812
30,11,Female,Orthodox & other christians,255,5.6666665,5.5412636
43,16,Female,Orthodox & other christians,153,4.6666665,5.0304379
58,14,Female,Orthodox & other christians,107,3.3333333,4.6728287
41,12,Female,Orthodox & other christians,439,7,6.0844994
54,8,Male,Orthodox & other christians,357,1,5.8777356
36,16,Female,Orthodox & other christians,224,10,5.4116459
53,16,Female,Orthodox & other christians,306,7,5.7235851
52,17,Female,Orthodox & other christians,306,6.6666665,5.7235851
60,8,Male,Orthodox & other christians,204,4,5.31812
55,12,Female,Orthodox & other christians,306,4.6666665,5.7235851
32,11,Male,Orthodox & other christians,281,4.3333335,5.6383548
29,11,Female,Orthodox & other christians,230,5,5.4380794
46,12,Male,Orthodox & other christians,306,6.3333335,5.7235851
63,12,Female,Orthodox & other christians,255,1.6666666,5.5412636
54,13,Female,Orthodox & other christians,153,4.3333335,5.0304379
28,16,Female,Orthodox & other christians,178,6,5.1817837
55,11,Male,Orthodox & other christians,204,.66666669,5.31812
37,18,Female,Orthodox & other christians,178,3.6666667,5.1817837
29,8,Male,Orthodox & other christians,281,4,5.6383548
57,8,Male,Islamic,1022,5.6666665,6.9295168
38,11,Female,Orthodox & other christians,153,5,5.0304379
34,18,Female,Islamic,306,4,5.7235851
27,12,Male,Orthodox & other christians,153,6.6666665,5.0304379
42,8,Female,Islamic,76,5.3333335,4.3307333
38,16,Female,No religion,306,5,5.7235851
52,17,Male,Orthodox & other christians,1022,6,6.9295168
52,16,Female,Orthodox & other christians,342,5.6666665,5.8348107
43,12,Female,Orthodox & other christians,255,8.333333,5.5412636
